item                              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                         -157515. 14.81427 372.1531 -157506. -158257. -156795. 7656510. 631.0779 NaN     
likelihood                        -175396. 1.232225 44.72396 -175395. -175484. -175309. 3667868. 1317.346 NaN     
prior                             424.0153 0.240951 6.72514  424.2125 410.5392 436.9525 6202540. 779.0122 423.9619
smcCoalescent                     17456.19 14.36753 366.7292 17465.35 16717.66 18158.49 7416297. 651.5184 17452.33
bdcGrowthRate.t:Species           59867.16 341.5762 13455.46 58627.31 35298.59 87032.62 3113809. 1551.750 58386.40
relativeDeathRate.t:Species       0        0        0        0        0        0        NaN      NaN      NaN     
collapseWeight.t:Species          0.051615 0.000522 0.051127 0.036166 1.24E-7  0.153404 503704.0 9592.647 0.029091
originHeight.t:Species            6.87E-5  4.4E-7   2.1E-5   6.38E-5  3.87E-5  0.000111 2129475. 2269.035 6.61E-5 
popPriorScale                     0.000239 1.47E-6  5.02E-5  0.000233 0.000149 0.00034  4134383. 1168.700 0.000234
PopSize                           0.000238 1.47E-6  0.00024  0.000176 3.41E-5  0.000602 180861.3 26715.79 0.000186
NClusters                         1.000004 2.07E-6  0.002034 1        1        1        5000     966371   1.000003
BirthDeathCollapseModel.t:Species 462.5282 0.284351 7.632866 462.7562 447.2417 477.2140 6705749. 720.5540 462.4651
TreeHeight.Species                5.14E-5  3.29E-7  8.04E-6  5.06E-5  3.68E-5  6.77E-5  8071716. 598.6155 5.08E-5 
TreeHeight.t:4527_introns         0.001928 1.12E-5  0.000249 0.001903 0.001472 0.002439 9720026. 497.1030 0.001913
TreeHeight.t:4848_introns         0.000534 3.44E-6  0.000137 0.000517 0.000295 0.000809 3070989. 1573.386 0.000517
TreeHeight.t:4932_introns         0.000308 1.92E-6  8.52E-5  0.000296 0.000161 0.000479 2463656. 1961.253 0.000297
TreeHeight.t:4992_introns         0.000692 4.44E-6  0.000153 0.000675 0.000421 0.001001 4072795. 1186.373 0.000676
TreeHeight.t:5116_introns         0.003403 2.17E-5  0.000677 0.003327 0.002175 0.004755 4945062. 977.1068 0.003338
TreeHeight.t:5271_introns         0.000229 1.45E-6  6.91E-5  0.000217 0.000116 0.000367 2138312. 2259.657 0.00022 
TreeHeight.t:5326_introns         0.000238 1.51E-6  6.72E-5  0.000229 0.000123 0.000372 2432468. 1986.400 0.000229
TreeHeight.t:5333_introns         0.000573 3.56E-6  0.000163 0.000551 0.000288 0.000899 2302678. 2098.362 0.000551
TreeHeight.t:5404_introns         0.00066  4.1E-6   0.000142 0.000644 0.000405 0.000946 4008938. 1205.270 0.000646
TreeHeight.t:5406_introns         0.00041  2.59E-6  7.61E-5  0.000402 0.000271 0.000562 5589139. 864.5079 0.000403
TreeHeight.t:5426_introns         0.000383 2.43E-6  6.74E-5  0.000376 0.000261 0.000519 6286448. 768.6144 0.000377
TreeHeight.t:5428_introns         0.000255 1.61E-6  8.36E-5  0.00024  0.000121 0.000422 1800643. 2683.404 0.000243
TreeHeight.t:5464_introns         0.001104 6.96E-6  0.000244 0.001077 0.000667 0.001591 3948463. 1223.730 0.001079
TreeHeight.t:5599_introns         0.000828 5.28E-6  0.000185 0.000806 0.000496 0.001198 3938715. 1226.759 0.000808
TreeHeight.t:5614_introns         0.001211 7.51E-6  0.000224 0.001188 0.000807 0.001662 5433195. 889.3209 0.001191
TreeHeight.t:5639_introns         0.00092  5.86E-6  0.000218 0.000894 0.000537 0.001361 3495194. 1382.428 0.000896
TreeHeight.t:5664_introns         0.000444 2.78E-6  8.85E-5  0.000434 0.000285 0.000622 4777894. 1011.293 0.000435
TreeHeight.t:5822_introns         0.000711 4.45E-6  0.000162 0.000694 0.000423 0.00104  3657239. 1321.175 0.000694
TreeHeight.t:5840_introns         0.000974 5.43E-6  0.000175 0.00096  0.000651 0.001325 4677698. 1032.955 0.000959
